Camp section,Size Ft2,Width
A1,26110,70
A2,26110,70
A3,26110,70
A4,26110,70
A5,26110,70
A6,26110,70
B1,20440,70
B2,20440,70
B3,20440,70
B4,20440,70
B5,20440,70
B6,20440,70
B7,20440,70
B8,20440,70
B9,20440,70
B10,20440,70
B11,20440,70
B12,20440,70
B13,20440,70
B14,20440,70
B15,20440,70
B16,20440,70
B17,20440,70
B18,20440,70
B19,20440,70
B20,20440,70
B21,20440,70
B22,20440,70
B23,20440,70
B24,20440,70
B25,20440,70
B26,20440,70
B27,20440,70
B28,20440,70
B29,20440,70
B30,20440,70
B31,20440,70
B32,20440,70
C1,14700,70
C2,14700,70
C3,14700,70
C4,14700,70
C5,14700,70
C6,14700,70
C7,14700,70
C8,14700,70
C9,14700,70
C10,14700,70
C11,14700,70
C12,14700,70
C13,14700,70
C14,14700,70
C15,14700,70
C16,14700,70
C17,14700,70
C18,14700,70
C19,14700,70
C20,14700,70
C21,14700,70
C22,14700,70
C23,14700,70
C24,14700,70
C25,14700,70
C26,14700,70
C27,14700,70
C28,14700,70
C29,14700,70
C30,14700,70
C31,14700,70
C32,14700,70
D1,10500,70
D2,10500,70
D3,10500,70
D4,10500,70
D5,10500,70
D6,10500,70
D7,10500,70
D8,10500,70
D9,10500,70
D10,10500,70
