Size,Group Name,Camp Key,Position,Sub total,Area
21,Tree People,Camp206,Close,41,6437
26,The Floor People,Camp163,Close,67,10519
28,The Re-Up Rascals,Camp149,Close,95,14915
28,Camp Rabbit Hole,Camp147,Close,123,19311
30,CAMP FRAMP,Camp127,Close,153,24021
31,Kilos in the Jungle,Camp118,Close,184,28888
31,Coochie Corral Boofs Peepy,Camp121,Close,215,33755
31,Camp Hell Yeah,Camp123,Close,246,38622
33,Camp Wookery,Camp104,Close,279,43803
33,Deems Kingdom,Camp107,Close,312,48984
37,Boneless Brother,Camp80,Close,349,54793
39,Camp Tittysprinkles,Camp72,Close,388,60916
41,"Dude, where's my Chris?",Camp66,Close,429,67353
69,flAMIGOS,Camp15,Close,498,78186
