Camp section,Size Ft2,Width
E1,10500,70
E2,10500,70
E3,10500,70
E4,10500,70
E5,10500,70
E6,10500,70
E7,10500,70
E8,10500,70
E9,10500,70
E10,10500,70
E11,10500,70
E12,10500,70
E13,10500,70
E14,10500,70
E15,10500,70
E16,10500,70
E17,10500,70
E18,10500,70
E19,10500,70
E20,10500,70
E21,10500,70
E22,10500,70
E23,10500,70
E24,10500,70
E25,10500,70
E26,10500,70
E27,10500,70
E28,10500,70
E29,10500,70
E30,10500,70
E31,10500,70
E32,10500,70
E33,10500,70
E34,10500,70
E35,10500,70
E36,10500,70
E37,10500,70
E38,10500,70
E39,10500,70
E40,10500,70
E41,10500,70
E42,10500,70
E43,10500,70
E44,10500,70
E45,10500,70
E46,10500,70
E47,10500,70
E48,10500,70
E49,10500,70
E50,10500,70
E51,10500,70
E52,10500,70
E53,10500,70
E54,10500,70
E55,10500,70
E56,10500,70
E57,10500,70
E58,10500,70
E59,10500,70
E60,10500,70
E61,10500,70
E62,10500,70
E63,10500,70
E64,10500,70
E65,10500,70
E66,10500,70
E67,10500,70
E68,10500,70
E69,10500,70
E70,10500,70
