Camp Section,Section Width,Group Name,Camp Key,Size,Request,Adjacent Camp Key,
B12,100,Camp Pandamonium,Camp41,48,Away from RVs,,
B12,100,Womp Rats,Camp96,34,Away from RVs,,
D2,150,Boofstreet Boys,Camp232,20,Far from mainstreet,,
B12,100,Sesame Skeeet,Camp20,64,Far from RVs,,
B13,100,One Day Dipsters,Camp195,23,Far from RVs,,
E1,70,Sexy Rave Mofos,Camp145,28,Near RVs,,
E2,70,PeRF in the Mush-Room,Camp48,47,Near RVs,,
A8,100,P$$y Suckaz,Camp105,33,Close to: Camp magic conch (in ADA),Camp44,
A2,100,HornyHours,Camp173,25,Close to: Camp Whippet Out ,Camp64,
A2,100,Camp Whippet Out,Camp64,41,,,
C1,150,Yeet Street,Camp7,78,Close to: the entire bee movie script,Camp24,
C1,150,the entire bee movie script,Camp24,56,,,
A8,100,Boomin n' Goofin,Camp61,41,Close to: Chain Gang ,,
A8,100,Giggles N Jiggles,Camp34,49,Close to: Chain Gang ,Camp59,
A8,100,"Babe, do you have my molly?",Camp211,21,,,
A5,100,Ghosts of Serotonin's Past,Camp17,66,,,
A5,100,Roll Modelz 😎,Camp115,32,Close to: Ghost of Serotonin's Past,Camp17,
A16,100,KETAMINE KOWGURLS,Camp16,67,,,
A21,100,HER Forest,Camp11,75,Close to ADA,,
A20,100,Camp Traction,Camp3,90,Close to ADA,,
A2,100,Behrens' Big Booty Bach,Camp177,24,Close to: Highly Flavored,Camp178,
A21,100,Don Juan Doobiers,Camp229,20,Close Overflow,,
B6,100,Electric Sofa,Camp30,52,Activities Overflow,,
B7,100,FACEMELT FAM,Camp9,76,Activities Overflow,,
A8,100,PEGASUS NOVA 6,Camp220,20,ADA close to ,Camp 65,
A8,100,K is for Koala,Camp65,41,"Close to: Keta Kweens, Lentil Beans, PEGASUS NOVA 6 (ADA)",Camp23,Camp220
A8,100,Keta Kweens and Lentil Beans,Camp 23,58,,,
