Camp Section,Section Width,Group Name,Camp Key,Size,Request
A10,101,Electric Bogaloo,Camp129,30,
A10,101,Disco Ducks,Camp132,30,
A10,100,GOOD VIBE TRIBE,Camp27,53,
A10,100,Camp Electrip - Year 5!,Camp39,48,
A10,100,The Boof Cottage,Camp76,38,
A11,100,Texxxas Fuxxx,Camp119,31,
A11,100,Bob Squad,Camp144,29,
A11,100,Feral Chickens 🐓,Camp181,24,
A11,100,Bippity Boppity Boof,Camp6,78,
A11,99,Big Daddy Purp and the Twerps,Camp79,37,
A16,100,KETAMINE KOWGURLS,Camp16,67,
A16,100,Behrens' Big Booty Bach,Camp177,24,Close to: Highly Flavored
A17,100,Church Of Tracy,Camp117,32,
A17,101,Are you a real fan?,Camp159,27,
A17,100,Scholastic Wook Fair,Camp170,25,
A17,101,highly flavored,Camp178,24,
A17,100,Vibe Check,Camp70,39,
A17,100,Electric Pissers,Camp91,36,
A18,99,LOSTINTHEWOODSH3,Camp130,30,
A18,100,Camp (K)yle,Camp137,29,
A18,100,I smell Socks & Kandi,Camp36,49,
A18,100,The Hug House,Camp69,40,
A18,100,E4 Avenue,Camp94,35,
A19,100,Roll Modelz 😎,Camp115,32,Close to: Ghost of Serotonin's Past
A19,100,Ghosts of Serotonin's Past,Camp17,66,
A2,100,HornyHours,Camp173,25,Close to: Camp Whippet Out 
A2,100,Camp Whippet Out,Camp64,41,
A20,100,Camp Traction,Camp3,90,Close to ADA
A21,100,HER Forest,Camp11,75,Close to ADA
A21,100,Don Juan Doobiers,Camp229,20,Close Overflow
A22,100,Deems Kingdom,Camp107,33,
A22,100,Camp Hell Yeah,Camp123,31,
A22,101,CAMP FRAMP,Camp127,30,
A22,100,flAMIGOS,Camp15,69,
A22,101,Boneless Brother,Camp80,37,
A5,100,Giggles N Jiggles,Camp34,49,Close to: Chain Gang 
A5,100,Boomin n' Goofin,Camp61,41,Close to: Chain Gang 
A6,100,Lost + Found Forest Fairies,Camp193,23,"Activation, Close to: Babe, do you have my molly?"
A6,100,Grilled Cheese and B!tches,Camp49,46,
A6,100,Chain Gang,Camp59,42,"Activation, Close to Boomin n Goofin"
A6,101,FraggleKroc,Camp75,38,
A6,99,Camp Build A Wook,Camp98,34,
A7,99,Biscuits and Ravey,Camp103,34,
A7,101,Camp Feel My Face,Camp179,24,
A7,101,Feral Buellers’ Days Off,Camp185,24,
A7,101,Camp Buttstuff,Camp236,20,
A7,100,Ride the Pony,Camp54,44,
A7,100,Cheeky Squeaky Squad,Camp82,37,"Activation, Close to: Ghost of Serotonin's Past"
A8,100,P$$y Suckaz,Camp105,33,Close to: Camp magic conch (in ADA)
A8,100,"Babe, do you have my molly?",Camp211,21,
A8,100,PEGASUS NOVA 6,Camp220,20,ADA close to 
A8,100,Keta Kweens and Lentil Beans,Camp23,58,
A8,100,K is for Koala,Camp65,41,"Close to: Keta Kweens, Lentil Beans, PEGASUS NOVA 6 (ADA)"
A9,99,Camp Schwifty!,Camp111,32,
A9,101,Camp Magic Conch,Camp44,47,
A9,100,Banana Bois b2b Chedda Mommas,Camp5,80,
A9,101,BOOF WELLINGTON,Camp67,40,
B10,100,Kilos in the Jungle,Camp118,31,
B10,101,The Re-Up Rascals,Camp149,28,
B10,100,"Dude, where's my Chris?",Camp66,41,
B10,99,Camp Tittysprinkles,Camp72,39,
B11,100,Camp Wookery,Camp104,33,
B11,100,Coochie Corral Boofs Peepy,Camp121,31,
B11,101,Camp Rabbit Hole,Camp147,28,
B11,100,The Floor People,Camp163,26,
B11,101,Tree People,Camp206,21,
D2,100,Sesame Skeeet,Camp20,64,Far from RVs
B14,100,Camp Pandamonium,Camp41,48,Away from RVs
B13,100,Womp Rats,Camp96,34,Away from RVs
B13,100,One Day Dipsters,Camp195,23,Far from RVs
B6,100,Electric Sofa,Camp30,52,Activities Overflow
B7,100,FACEMELT FAM,Camp9,76,Activities Overflow
C1,150,the entire bee movie script,Camp24,56,
C1,150,Yeet Street,Camp7,78,Close to: the entire bee movie script
D2,150,Boofstreet Boys,Camp232,20,Far from mainstreet
E1,70,Sexy Rave Mofos,Camp145,28,Near RVs
E2,70,PeRF in the Mush-Room,Camp48,47,Near RVs
