Camp Section,Camp,Length (ft),Width (ft),Size
A6-A,Camp222,34,101,
A6-B,Camp114,55,100,
A6-C,Camp175,43,100,
A6-D,Camp135,50,100,
A6-E,Camp73,65,101,
A6-F,Camp72,67,100,
A7-A,Camp93,60,100,
A7-B,Camp196,40,99,
A7-C,Camp179,41,101,
A7-D,Camp182,41,101,
A7-E,Camp69,69,100,
A7-F,Camp82,64,100,
A16-A,Camp95,59,99,
A16-B,Camp51,79,100,
A16-C,Camp156,46,101,
A16-D,Camp59,72,100,
A16-E,Camp98,59,99,
A17-A,Camp53,76,100,
A17-B,Camp185,41,101,
A17-C,Camp87,62,100,
A17-D,Camp36,84,100,
A17-E,Camp130,52,99,
B6,Camp30,,,
B7,Camp9,,,
A8-A,Camp28,86,100,
A8-B,Camp113,52,100,
A8-C,Camp6,127,100,
A8-D,Camp127,49,100,
A9-A,Camp39,78,100,
A9-B,Camp234,33,99,
A9-C,Camp44,77,99,
A9-D,Camp67,65,100,
A9-E,Camp76,62,100,
A10-A,Camp5,130,100,
A10-B,Camp133,47,101,
A10-C,Camp128,49,100,
A10-D,Camp183,39,100,
A10-E,Camp124,51,99,
