Camp Section 	 Camp 	 Length (ft) 	 Width (ft) 
A1-A	Flamin' Hots	190	70
A1-B	The Pasties Platoon	46	70
A1-C	Black Eyed Ps	88	70
A1-D	Camp WWJB	48	70
A2-A	Yeet Street	226	70
A2-B	Urban Animals 2.0	146	70
A3-A	FACEMELT FAM	301	70
A3-B	#CampJger2020	70	70
A4-A	The Wook Cartel	255	70
A4-B	Space Goats	56	70
A4-C	Slappa Da Baggg	60	70
A5-A	stephanie lombard	44	70
A5-B	Area 51	62	70
A5-C	Lost my chanclas	68	70
A5-D	Camp 86Wh0a	40	70
A5-E	Epstein Didn't Boof Himself	84	70
A5-F	Victor Carrizalez	76	70
A6-A	Cool Socks	92	70
A6-B	Wholesome whippets and whiteclaws	64	70
A6-C	SQUAAA	94	70
A6-D	CAMP TRASH PANDA	122	70
B1-A	Swamp Squad	58	70
B1-B	WOOKANDA FOREVAH	102	70
B1-C	Hog Farm	132	70
B10-A	COUNCIL OF RICKS	92	70
B10-B	THE ARMADILLTOES	34	70
B10-C	E4 Avenue	74	70
B10-D	Kristina Otten	54	70
B10-E	Blob the Forest 2020	38	70
B11-A	Return Jose Here	42	70
B11-B	KAMP KAZOOTED	70	70
B11-C	Marvelous Misfits	138	70
B11-D	Max Ellison	42	70
B12-A	The Slap Masters	50	70
B12-B	Ian Muschler	68	70
B12-C	Camp Lan Party	174	70
B13-A	Wook Wars 6: Return of the Crackheads	150	70
B13-B	Thammy n Hiz Buddiez	38	70
B13-C	Cotton Headed Ninny Muggins	58	70
B13-D	Kamp Horsey	46	70
B14-A	Cabbage Corp.	96	70
B14-B	Club Soda	128	70
B14-C	Nathen Lane	68	70
B15-A	Tab Lab	114	70
B15-B	Sarah Bazemore	38	70
B15-C	Camp Weird	60	70
B15-D	Camp No Training Wheelz	80	70
B16-A	BIG OL' RAVE SHRIMPS COLORADO	50	70
B16-B	Electric Sofa	241	70
B17-A	Same as Last Year	42	70
B17-B	Camp Zipties and Tito's	36	70
B17-C	Where the duck is Kevin	110	70
B17-D	Lily Iaderosa	54	70
B17-E	Camp PLURwood	50	70
B18-A	Robert Ferruggia	42	70
B18-B	Campstopwontstop	52	70
B18-C	YEET! Fam	66	70
B18-D	Wooktopia	132	70
B19-A	Send Noods	34	70
B19-B	Rainbow Squiiis	62	70
B19-C	Boofus Du Roll	196	70
B2-A	K Is For Horses	190	70
B2-B	Products of D.A.R.E.	102	70
B20-A	puffy nuts	44	70
B20-B	Mom's Spagetamine	46	70
B20-C	Thee Sable of...	54	70
B20-D	Central Boofing District	88	70
B20-E	Bears, Boo-Bees, [REDACTED]	60	70
B21-A	Children of the Wild: 2020	198	70
B21-B	Emmanuela Jannaro	94	70
B22-A	CAMP MOST MOIST	44	70
B22-B	GGPCC (Giant Galactic Pizza Cat Camp!)	98	70
B22-C	Wedding Crashers	54	70
B22-D	Camp Who are you? Meow	40	70
B22-E	SquidzSquad	56	70
B23-A	EternalVibeTribe	206	70
B23-B	Camp Watermalone	34	70
B23-C	Get Weird	52	70
B24-A	Kamp Slower Horses	86	70
B24-B	Spunion Farms	64	70
B24-C	Have you seen my dad?	32	70
B24-D	Ohana 1	56	70
B24-E	Ohana 2	54	70
B25-A	Buncha Wooks	30	70
B25-B	CAMP SIDEBOOB	56	70
B25-C	[EnimateK]	64	70
B25-D	Freestyle Groove Gang	30	70
B25-E	BASS PIRATES	72	70
B25-F	BOOF BARN	40	70
B26-A	Camp Sup Sau	118	70
B26-B	Electric Lettuce	38	70
B26-C	Oprah's Wook Club	56	70
B26-D	Electric Hawk	80	70
B27-A	Dude, Where's My Cat?	142	70
B27-B	Bubble Gang	60	70
B27-C	Duck It All	88	70
B28-A	May the Forest Be With You	46	70
B28-B	Shotlantis	120	70
B28-C	Gangsta's Paradise	126	70
B29-A	Lunchbox Fam	96	70
B29-B	F*ck Dave	56	70
B29-C	Harvard Grads	54	70
B29-D	Morgan Freeman's freckles	40	70
B29-E	Sara Mehle	44	70
B3-A	Duck Squad	22	70
B3-B	Camper? I Hardly Know er!	40	70
B3-C	Camp Koto	80	70
B3-D	Camp Stop Wont Stop Part Deux	40	70
B3-E	Nick taylors group	40	70
B3-F	Sisterhood of the Traveling Spoon	70	70
B30-A	Bed Times Lines	112	70
B30-B	High Voltage	180	70
B31-A	The Leaflings	70	70
B31-B	TEAM BLAST OFF	36	70
B31-C	Camp Wurder	60	70
B31-D	Freak candy 	44	70
B31-E	glenn sanchez	32	70
B31-F	Ryan Cain	48	70
B32-A	 Camp Minty Bits 	84	70
B32-B	slippery saucy sloots	96	70
B32-C	cabbage pash kids	112	70
B4-A	Wubba Lubba Dub Scouts	46	70
B4-B	Todds Marbles	50	70
B4-C	ODC	70	70
B4-D	One Big Rave Fam	64	70
B4-E	bEATS and bASS	62	70
B5-A	Camp Hell Yeah	44	70
B5-B	Camp Year-Round!	48	70
B5-C	Camp Power Up	46	70
B5-D	SPECTRUM CA	106	70
B5-E	Great Day for K	48	70
B6-A	K-Hole Family	48	70
B6-B	Giraffic Park	56	70
B6-C	CAMP JEFF	80	70
B6-D	Kevin Quillen	42	70
B6-E	SpAcE CaMp	38	70
B6-F	INTENTS WUBS	28	70
B7-A	Team Turnip	216	70
B7-B	Celine Dion Horse Tranqs	76	70
B8-A	Camp Forest Camp	58	70
B8-B	Council LLC	44	70
B8-C	Bob Squad!	50	70
B8-D	Liquid Space Dragons	66	70
B8-E	Just Boof It	74	70
B9-A	Camp don't be a B!tch	56	70
B9-B	Kula -No Chill	136	70
B9-C	Camp Kazoo	100	70
C1-A	Camp Boofenshmirtz	58	70
C1-B	Camp Magic Conch	112	70
C1-C	We Love Raving!	40	70
C10-A	Deems Kingdom	86	70
C10-B	JChillin Love Company	124	70
C11-A	Rave Little Toasters	148	70
C11-B	Katie Widmar	62	70
C12-A	Chain Gang	90	70
C12-B	Campoline	58	70
C12-C	Big Daddy Purp and the Twerps	62	70
C13-A	Get Down	34	70
C13-B	RAT JAZZ	66	70
C13-C	Backwoods Barracks	110	70
C14-A	6 Wooks 1 Tent	84	70
C14-B	Camp Chubbn	50	70
C14-C	Harlan Kane	30	70
C14-D	Milwonkians and friends	46	70
C15-A	Give Ilhan Omar a Gundam	40	70
C15-B	Big Spungus	46	70
C15-C	Freaks and Geeks	52	70
C15-D	Flared BassCamp	72	70
C16-A	Camp Build a Wook	60	70
C16-B	Craig Storie	40	70
C16-C	K for Koala	110	70
C17-A	Shroompa Loompas	112	70
C17-B	Camp Bass &amp;amp; Tiddies	98	70
C18-A	Salty Spitoon	72	70
